X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-42.23833,-14.023889999555823,1113,CONLRE011,BA,INEMA,Barragem de São Pedro,2,2,0.08,0.02,0.14,0.085,-14.02389,-42.23833
-42.16477,-13.845609999561047,1114,CONLST100,BA,INGÁ,Lagoa de São Timóteo,2,3,0.203,0.09,0.37,0.147,-13.84561,-42.16477
-41.28956,-14.028249999555717,1115,CONORV100,BA,INGÁ,Rio do Ourives,1,3,0.027,0.02,0.04,0.012,-14.02825,-41.28956
-39.84358,-14.287329999548181,1116,CONPEX400,BA,INGÁ,Rio do Peixe,1,3,1.127,0.1,2.8,1.462,-14.28733,-39.84358
-39.66586,-14.184469999551142,1117,CONPEX900,BA,INGÁ,Rio do Peixe,1,3,0.173,0.03,0.31,0.14,-14.18447,-39.66586
-46.58389,-23.643059999306164,1118,CORU04950,SP,CETESB,Ribeirão dos Couros,1,6,6.182,2.32,11,2.993,-23.64306,-46.58389
-46.88139,-23.59888999930714,1119,COTI03800,SP,CETESB,Rio Cotia,1,6,0.798,0.27,1.21,0.328,-23.59889,-46.88139
-46.8625,-23.540299999308473,1120,COTI03900,SP,CETESB,Rio Cotia,1,6,0.812,0.32,1.15,0.309,-23.5403,-46.8625
-55.9783,-15.458099999514681,1121,COX039,MT,SEMA,Coxipó,1,3,0.07,0.05,0.11,0.035,-15.4581,-55.9783
-56.0132,-15.619199999510124,1122,COX065,MT,SEMA,Coxipó,1,3,0.187,0.05,0.46,0.237,-15.6192,-56.0132
-56.0596,-15.625199999509979,1123,COX073,MT,SEMA,Coxipó,1,3,0.137,0.05,0.21,0.081,-15.6252,-56.0596
-37.41617,-7.162249999766225,1124,CP34,PB,SUDEMA,Açude Capoeira (Santa Terezinha),2,2,0.18,0.1,0.26,0.113,-7.16225,-37.41617
-38.5212,-6.683799999781592,1125,CP71,PB,SUDEMA,Açude Capivara (Uirauna),2,2,0.065,0.06,0.07,0.007,-6.6838,-38.5212
-46.8525,-23.114999999318091,1126,CPIV02030,SP,CETESB,Rio Capivari,1,6,0.058,0.03,0.1,0.033,-23.115,-46.8525
-46.92222,-23.1016699993184,1127,CPIV02060,SP,CETESB,Rio Capivari,1,6,0.093,0.06,0.2,0.054,-23.10167,-46.92222
-46.80361,-22.988059999320999,1128,CPIV02100,SP,CETESB,Rio Capivari,1,6,2.167,1,4,0.983,-22.98806,-46.80361
-47.1,-23.006099999320568,1129,CPIV02130,SP,CETESB,Rio Capivari,1,6,0.767,0.3,2,0.653,-23.0061,-47.1
-47.24361,-22.954999999321714,1130,CPIV02160,SP,CETESB,Rio Capivari,1,6,2.167,1,3,0.753,-22.955,-47.24361
-47.2975,-22.959399999321651,1131,CPIV02200,SP,CETESB,Rio Capivari,1,6,2.283,0.7,3,0.917,-22.9594,-47.2975
-47.53111,-22.99943999932071,1132,CPIV02700,SP,CETESB,Rio Capivari,1,6,0.833,0.4,2,0.596,-22.99944,-47.53111
-47.7547,-22.989199999320928,1133,CPIV02900,SP,CETESB,Rio Capivari,1,6,0.5,0.2,1,0.322,-22.9892,-47.7547
